Model,Accuracy,F1 macro,F1 weighted,Precision macro,Recall macro,Fit time (s),Predict time (s)
KNN,0.9191696113074205,0.9218574923509899,0.9188028368508453,0.92036952070428,0.9244339707057284,284.54589080810547,18.028416633605957
SVM,0.9115135453474676,0.9162527393589919,0.9113561894613424,0.9166516584001644,0.9163977547993558,22863.8838160038,50.725658893585205
RF,0.8164016489988222,0.82567224120279,0.8157999657214242,0.8383199651948188,0.8230253367927953,601.8010966777802,0.5616574287414551
