eval_mode,feature_set,model,acc,f1_macro,f1_weighted,precision_macro,recall_macro,fit_time_s,predict_time_s,best_cv,best_params
cv_5,B — Tex(opt),XGBoost,0.8116666666666666,0.8114530260539573,0.8114530260539573,0.8132713623373885,0.8116666666666665,35.00490593910217,0.2972376346588135,0.8115587642357832,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}"
cv_5,B — Tex(opt),LightGBM,0.8091666666666667,0.8091770175632808,0.8091770175632809,0.8112799549749696,0.8091666666666667,436.4643371105194,3.8386073112487793,0.8093401318435831,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 500, 'num_leaves': 31, 'subsample': 0.8}"
cv_5,B — Tex(opt),LR,0.7833333333333333,0.7830820318170971,0.7830820318170971,0.783489397763173,0.7833333333333333,1.4235517978668213,0.04908943176269531,0.7829327920901689,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__penalty': 'l2'}"
cv_5,B — Tex(opt),MLP,0.8141666666666667,0.8146094388509058,0.8146094388509058,0.8192889675082639,0.8141666666666666,143.7789580821991,0.6833398342132568,0.8146390079065906,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'early_stopping': True, 'hidden_layer_sizes': (512, 256), 'learning_rate_init': 0.001, 'max_iter': 500}"
cv_5,B — Tex(opt),ExtraTrees,0.8058333333333333,0.805871647427333,0.8058716474273331,0.8078741207140224,0.8058333333333333,26.06176519393921,0.6229441165924072,0.8057503324777906,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}"
cv_5,C — DWT(opt),SVM,0.7291666666666666,0.7293105392076485,0.7293105392076485,0.7316806080851025,0.7291666666666666,606.4848878383636,0.1717519760131836,0.7291476151680905,"{'C': 1, 'coef0': 0.5, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}"
cv_5,C — DWT(opt),KNN,0.695,0.6933204382044619,0.6933204382044619,0.6956679718509546,0.695,2.077500820159912,0.0315089225769043,0.6938666507175789,"{'metric': 'manhattan', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}"
cv_5,C — DWT(opt),RF,0.7266666666666667,0.7254211440212673,0.7254211440212674,0.7260158863358512,0.7266666666666667,8509.44417977333,1.6799979209899902,0.7250553635004633,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}"
cv_5,C — DWT(opt),XGBoost,0.7275,0.7269632374869638,0.7269632374869637,0.7270427906203768,0.7275,29.49267268180847,0.4359710216522217,0.7264241497061014,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}"
cv_5,C — DWT(opt),LightGBM,0.7325,0.7314646154352061,0.7314646154352059,0.7317592343368283,0.7324999999999999,453.42524576187134,0.7327439785003662,0.7309705095656482,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 15, 'subsample': 0.8}"
cv_5,C — DWT(opt),LR,0.7075,0.7068456394341771,0.7068456394341772,0.7074691416296659,0.7075,0.8713119029998779,0.018334627151489258,0.706730531915887,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__penalty': 'l2'}"
cv_5,C — DWT(opt),MLP,0.7291666666666666,0.7290780329976378,0.729078032997638,0.7304588738217284,0.7291666666666666,135.66749739646912,1.7305774688720703,0.7287387771956213,"{'activation': 'tanh', 'alpha': 0.01, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (512, 256), 'learning_rate_init': 0.001, 'max_iter': 500}"
cv_5,C — DWT(opt),ExtraTrees,0.7425,0.7407952477594787,0.7407952477594787,0.7421955284433048,0.7425,25.08901333808899,0.6121056079864502,0.7407418057043815,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
cv_5,D — HOG,SVM,0.8783333333333333,0.8774352491166649,0.8774352491166649,0.8780235322258427,0.8783333333333333,502.8419187068939,0.6006700992584229,0.8772040138264297,"{'C': 0.1, 'coef0': 1.0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}"
cv_5,D — HOG,KNN,0.8558333333333333,0.8543773077205249,0.8543773077205249,0.8550332754957538,0.8558333333333333,32.40501141548157,0.19086003303527832,0.8540554927325598,"{'metric': 'manhattan', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}"
cv_5,D — HOG,RF,0.8425,0.8410204822411389,0.8410204822411388,0.8423846017641576,0.8424999999999999,154557.0297460556,2.929933547973633,0.8409042334302892,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
cv_5,D — HOG,XGBoost,0.8475,0.8464223964732661,0.8464223964732661,0.8476431801283478,0.8475,1952.9666254520416,10.68823504447937,0.8464426915314837,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}"
cv_5,D — HOG,LightGBM,0.8466666666666667,0.8452799965571757,0.8452799965571757,0.8470315896137809,0.8466666666666667,1935.6337246894836,4.761059284210205,0.8452004578502905,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 15, 'subsample': 0.8}"
cv_5,D — HOG,LR,0.7825,0.7808908092742679,0.780890809274268,0.780876203793122,0.7825000000000001,91.45030927658081,0.4952046871185303,0.7804927562300565,"{'lr__C': 0.01, 'lr__class_weight': 'balanced', 'lr__penalty': 'l2'}"
cv_5,D — HOG,MLP,0.84,0.8385689326475938,0.8385689326475938,0.8393060277699315,0.84,454.32253551483154,0.9420566558837891,0.8384935848018502,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'max_iter': 500}"
cv_5,D — HOG,ExtraTrees,0.84,0.8384680244321504,0.8384680244321506,0.8404937357474808,0.84,140.3557059764862,4.413571119308472,0.8384816997323178,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
cv_5,A+B,SVM,0.8466666666666667,0.8474524671312246,0.8474524671312247,0.8496607946396909,0.8466666666666667,105.27586936950684,0.07667279243469238,0.8473751371504097,"{'C': 10, 'coef0': 1.0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}"
cv_5,A+B,KNN,0.8325,0.8325757591342776,0.8325757591342777,0.8360845314427126,0.8325,2.778616189956665,0.03176259994506836,0.8324876609813918,"{'metric': 'manhattan', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
cv_5,A+B,RF,0.8391666666666666,0.8392257225089249,0.8392257225089249,0.8423249896973716,0.8391666666666667,12132.20688033104,0.20925664901733398,0.8391963104685363,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
cv_5,A+B,XGBoost,0.845,0.8453365263949598,0.84533652639496,0.8481416731416731,0.8450000000000001,54.97247862815857,1.4509179592132568,0.845479740423106,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}"
cv_5,A+B,LightGBM,0.8408333333333333,0.8413063856376249,0.841306385637625,0.8440874097029343,0.8408333333333333,425.5903744697571,1.4058611392974854,0.8412911000223706,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 0.8}"
cv_5,A+B,LR,0.8183333333333334,0.8184639566249374,0.8184639566249373,0.8194561994254527,0.8183333333333334,5.639176845550537,0.4621434211730957,0.8184172833120684,"{'lr__C': 100, 'lr__class_weight': 'balanced', 'lr__penalty': 'l1'}"
cv_5,A+B,MLP,0.8508333333333333,0.8508243558198646,0.8508243558198645,0.8540079055072457,0.8508333333333334,152.4949176311493,0.5966606140136719,0.8509202842585222,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 128, 'early_stopping': True, 'hidden_layer_sizes': (512, 256), 'learning_rate_init': 0.001, 'max_iter': 500}"
cv_5,A+B,ExtraTrees,0.8433333333333334,0.8437015427921694,0.8437015427921694,0.8465868901980649,0.8433333333333333,27.502764463424683,0.42263364791870117,0.8437125238805262,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
cv_5,B+C(opt),SVM,0.8308333333333333,0.8310101837978067,0.8310101837978067,0.8340791889478041,0.8308333333333334,133.04263591766357,0.05808138847351074,0.830898685900636,"{'C': 1, 'coef0': 1.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}"
cv_5,B+C(opt),KNN,0.8066666666666666,0.8059806046098231,0.8059806046098231,0.8133250036912725,0.8066666666666666,2.9732272624969482,0.012781381607055664,0.8059613062904845,"{'metric': 'manhattan', 'n_neighbors': 11, 'p': 1, 'weights': 'distance'}"
cv_5,B+C(opt),RF,0.8183333333333334,0.8182290879708344,0.8182290879708344,0.822362377863402,0.8183333333333334,13405.720003604889,0.4713099002838135,0.8183084809815618,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}"
cv_5,B+C(opt),XGBoost,0.8425,0.8425291853518471,0.8425291853518472,0.844881050364434,0.8424999999999999,63.85754704475403,0.5866434574127197,0.8424551715102476,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'subsample': 0.8}"
cv_5,B+C(opt),LightGBM,0.8333333333333334,0.8330473643881188,0.8330473643881187,0.8384776655150169,0.8333333333333334,424.841139793396,2.994546413421631,0.8328237079429563,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 10, 'n_estimators': 300, 'num_leaves': 31, 'subsample': 0.8}"
cv_5,B+C(opt),LR,0.8,0.8000147693684784,0.8000147693684784,0.8011769173231338,0.7999999999999999,5.39580225944519,0.3883347511291504,0.7995984706136625,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__l1_ratio': 0.5, 'lr__penalty': 'elasticnet'}"
cv_5,B+C(opt),MLP,0.8425,0.8427546584926572,0.8427546584926572,0.844667859723962,0.8424999999999999,151.54114699363708,1.4869141578674316,0.8422947703138746,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (512, 256), 'learning_rate_init': 0.0005, 'max_iter': 500}"
cv_5,B+C(opt),ExtraTrees,0.8325,0.8327448066999157,0.8327448066999158,0.8384044150572231,0.8325,28.429527044296265,0.37471747398376465,0.832778883619269,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}"
cv_5,A+B+C(opt),SVM,0.8416666666666667,0.8428504167461983,0.8428504167461984,0.8465163282738682,0.8416666666666668,196.4159450531006,0.07098031044006348,0.8428442551845482,"{'C': 0.1, 'coef0': 0.5, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}"
cv_5,A+B+C(opt),KNN,0.8216666666666667,0.8215002849535304,0.8215002849535306,0.8272043426173492,0.8216666666666667,3.4250383377075195,0.015635013580322266,0.821785545828126,"{'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}"
cv_5,A+B+C(opt),RF,0.8383333333333334,0.8384573157940105,0.8384573157940104,0.8411094476333988,0.8383333333333333,15666.447544336319,0.14017796516418457,0.8384148366922222,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}"
cv_5,A+B+C(opt),XGBoost,0.8475,0.8474561454830795,0.8474561454830795,0.8487468693714627,0.8475,77.69776058197021,1.014310359954834,0.8473488626311475,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}"
cv_5,A+B+C(opt),LightGBM,0.8466666666666667,0.8467576712079755,0.8467576712079756,0.8495833058718986,0.8466666666666667,421.8362445831299,0.7819390296936035,0.8467573839266358,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 15, 'subsample': 0.8}"
cv_5,A+B+C(opt),LR,0.815,0.8152540743273572,0.8152540743273572,0.8158022915061353,0.8150000000000001,7.516568422317505,0.559798002243042,0.8149072151322031,"{'lr__C': 1, 'lr__class_weight': 'balanced', 'lr__l1_ratio': 0.5, 'lr__penalty': 'elasticnet'}"
cv_5,A+B+C(opt),MLP,0.8425,0.8425789838530279,0.8425789838530278,0.8439136800772021,0.8424999999999999,146.17615699768066,0.6177215576171875,0.842497801827774,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'early_stopping': True, 'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'max_iter': 500}"
cv_5,A+B+C(opt),ExtraTrees,0.845,0.845324996106223,0.845324996106223,0.8491004360526667,0.8450000000000001,30.028238773345947,0.7077045440673828,0.8452270603307266,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}"
cv_5,Full(opt),SVM,0.9016666666666666,0.9012675783640697,0.9012675783640697,0.9016322753160194,0.9016666666666667,559.5165185928345,0.5388720035552979,0.9013311801092587,"{'C': 10, 'coef0': 0.5, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
cv_5,Full(opt),KNN,0.89,0.8891218735283641,0.889121873528364,0.8900571104821919,0.89,34.72106313705444,0.18829131126403809,0.8888878844477588,"{'metric': 'manhattan', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}"
cv_5,Full(opt),RF,0.8783333333333333,0.8778276032134525,0.8778276032134525,0.8821355257140278,0.8783333333333334,153257.3096599579,0.7644186019897461,0.877802385336331,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
cv_5,Full(opt),XGBoost,0.8775,0.8776027568881121,0.8776027568881121,0.8796428770664427,0.8775,2007.0586810112,10.915942192077637,0.8775471302481735,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.8}"
cv_5,Full(opt),LightGBM,0.8791666666666667,0.8791494848829169,0.8791494848829168,0.8814247782560735,0.8791666666666668,1830.0415415763855,5.407344579696655,0.8790986970910633,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': -1, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 15, 'subsample': 0.8}"
cv_5,Full(opt),LR,0.8458333333333333,0.8458067895685959,0.8458067895685959,0.8483974485338931,0.8458333333333333,113.71914291381836,6.36070704460144,0.8459321230652508,"{'lr__C': 0.1, 'lr__class_weight': 'balanced', 'lr__penalty': 'l1'}"
cv_5,Full(opt),MLP,0.8783333333333333,0.8774783328966228,0.8774783328966229,0.8781621196371717,0.8783333333333333,514.730651140213,0.8438053131103516,0.8775806352864202,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'early_stopping': True, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005, 'max_iter': 500}"
cv_5,Full(opt),ExtraTrees,0.8833333333333333,0.8829270635993325,0.8829270635993324,0.8865465653760195,0.8833333333333333,137.13870334625244,4.156254053115845,0.8828898945454128,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}"
