tier,model,eval_mode,fold,acc,f1_macro,f1_weighted,precision_macro,recall_macro,fit_time_s,f1_macro_std,acc_std,source
0,vgg16,split,,0.9560260586319218,0.9501945339984138,,,,299.64440727233887,,,cache/phase3_all_metrics_df.pkl
0,vgg16,cv5_mean,,0.9454273759713091,0.9445887558230647,,,,1064.9894201755524,0.009126407782933544,0.009183453463751488,cache/phase3_all_metrics_df.pkl
0,resnet50,split,,0.9136807817589576,0.9054608122118545,,,,120.38356494903564,,,cache/phase3_all_metrics_df.pkl
0,resnet50,cv5_mean,,0.9429169157202631,0.9420743783082596,,,,1457.7372336387634,0.016815514097901493,0.01709008659255138,cache/phase3_all_metrics_df.pkl
0,efficientnet_b0,split,,0.9462540716612378,0.939970584882997,,,,395.8793330192566,,,cache/phase3_all_metrics_df.pkl
0,efficientnet_b0,cv5_mean,,0.9244435849653669,0.9239748411587048,,,,1535.8413767814636,0.01615586136670917,0.016751904266470524,cache/phase3_all_metrics_df.pkl
0,vit_b_16,split,,0.8827361563517915,0.8708073345388941,,,,271.02292037010193,,,cache/phase3_all_metrics_df.pkl
0,vit_b_16,cv5_mean,,0.9202172919376956,0.9185139526896503,,,,5077.970585107803,0.026536533648781887,0.026612831046643744,cache/phase3_all_metrics_df.pkl
1,cnn_glcm,split,,0.9185667752442996,0.9107298679363472,,,,0.0,,,cache/phase3_all_metrics_df.pkl
1,cnn_glcm,cv5_mean,,0.8883829682500615,0.8859578468212783,,,,693.524421453476,0.0380120316028741,0.04011723486023992,cache/phase3_all_metrics_df.pkl
1,lbpnet,split,,0.9169381107491856,0.912142408068597,,,,123.49777150154114,,,cache/phase3_all_metrics_df.pkl
1,lbpnet,cv5_mean,,0.9319784817692767,0.9304497093196827,,,,1002.3050148487091,0.019184220535750644,0.01871050288168175,cache/phase3_all_metrics_df.pkl
1,waveletcnn,split,,0.9234527687296417,0.91721485916964,,,,151.48509979248047,,,cache/phase3_all_metrics_df.pkl
1,waveletcnn,cv5_mean,,0.922738300341057,0.9190702113720635,,,,720.0305736064911,0.028601600790752975,0.029693621031119256,cache/phase3_all_metrics_df.pkl
1,cnn_hog,split,,0.9218241042345277,0.9122699246922851,,,,248.8725073337555,,,cache/phase3_all_metrics_df.pkl
1,cnn_hog,cv5_mean,,0.919454308920221,0.9178005630385387,,,,1161.253910779953,0.0327353568005027,0.035739341832355234,cache/phase3_all_metrics_df.pkl
2,multibranch_fusion,split,,0.9039087947882736,0.8951905599644056,,,,288.08378410339355,,,cache/phase3_all_metrics_df.pkl
2,multibranch_fusion,cv5_mean,,0.9008895608452587,0.897924534417745,,,,1424.0809121131897,0.052364913298850485,0.05078048533630735,cache/phase3_all_metrics_df.pkl
2,attention_fusion,split,,0.8973941368078175,0.8855798370870783,,,,331.3865215778351,,,cache/phase3_all_metrics_df.pkl
2,attention_fusion,cv5_mean,,0.9076860869870961,0.9051442201822738,,,,1293.4909343719482,0.027180561146859322,0.027757157675255512,cache/phase3_all_metrics_df.pkl
