phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,wavelet,level,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T004036_cc51bb0e,ed5424526b9228cac7b2557a5897d45c,cc51bb0e67950f4cada3c32c33b601e4,2026-05-26T00:40:36.221884+00:00,haar,1,16,wavelet=haar     level=1,0.18288506013776687,0.09992706330398607,4.154408543322465,0.0,0.0,1.0,0.3333333333333333
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,bior1.3,1,16,wavelet=bior1.3  level=1,0.193115860859995,0.10421388321517869,3.9927063681763486,1.0,1.0,0.9824424546711836,0.9941474848903945
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,coif1,1,16,wavelet=coif1    level=1,0.18069331597281238,0.09825837994264278,3.9600875353582397,0.8239403710802864,0.8569373870835433,1.0,0.8936259193879432
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,haar,1,16,wavelet=haar     level=1,0.18288506013776687,0.09992706330398607,4.154408543322465,0.8550030613642217,0.8970223624213767,0.8954039856454004,0.8824764698103329
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db1,1,16,wavelet=db1      level=1,0.18288506013776687,0.09992706330398607,4.154408543322465,0.8550030613642217,0.8970223624213767,0.8954039856454004,0.8824764698103329
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db2,1,16,wavelet=db2      level=1,0.18036424773028303,0.0944515221713842,4.000143255092059,0.8192766219696872,0.765489360806888,0.9784394457390131,0.8544018095051961
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,sym2,1,16,wavelet=sym2     level=1,0.18036424773028303,0.0944515221713842,4.000143255092059,0.8192766219696872,0.765489360806888,0.9784394457390131,0.8544018095051961
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db4,1,16,wavelet=db4      level=1,0.1694863106368948,0.08719411160228388,3.9802553682114024,0.6651080852111719,0.5911524372069961,0.9891443804418771,0.7484683009533484
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,bior1.3,2,28,wavelet=bior1.3  level=2,0.16426450498775372,0.08678208396413337,4.462083652410919,0.5911015774281161,0.5812547429551196,0.7297935327977414,0.6340499510603257
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,coif1,2,28,wavelet=coif1    level=2,0.16173242160248055,0.08837674376469291,4.559069417592931,0.5552153990923925,0.6195615303651687,0.6775895812361217,0.6174555035645609
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,sym2,2,28,wavelet=sym2     level=2,0.1588072220424254,0.08600273359725409,4.675057512495388,0.5137577465955356,0.5625332521321162,0.6151573585625263,0.563816119096726
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db2,2,28,wavelet=db2      level=2,0.1588072220424254,0.08600273359725409,4.675057512495388,0.5137577465955356,0.5625332521321162,0.6151573585625263,0.563816119096726
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,haar,2,28,wavelet=haar     level=2,0.15261069305210254,0.08300865396070338,4.739419934372056,0.42593688504629545,0.49060971578545454,0.5805133801628872,0.4990199936648791
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db1,2,28,wavelet=db1      level=2,0.15261069305210254,0.08300865396070338,4.739419934372056,0.42593688504629545,0.49060971578545454,0.5805133801628872,0.4990199936648791
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db4,2,28,wavelet=db4      level=2,0.14816077571501476,0.07597388130044418,4.769230620824653,0.362870033430454,0.32162098183730015,0.5644673590929963,0.4163194581202501
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,bior1.3,3,40,wavelet=bior1.3  level=3,0.1400482974958274,0.07484275834037037,4.9235080198948635,0.24789521000574166,0.2944492385281823,0.4814253801696018,0.34125660956784193
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,coif1,3,40,wavelet=coif1    level=3,0.13821187557066472,0.07389945490572163,5.232600404910999,0.22186835595768262,0.2717892805098143,0.3150520586294161,0.26956989836563766
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db2,3,40,wavelet=db2      level=3,0.1345101655801954,0.0717637817367707,5.040880465867407,0.16940553990757845,0.22048631417703146,0.41824801107094656,0.26937995505185214
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,sym2,3,40,wavelet=sym2     level=3,0.1345101655801954,0.0717637817367707,5.040880465867407,0.16940553990757845,0.22048631417703146,0.41824801107094656,0.26937995505185214
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,haar,3,40,wavelet=haar     level=3,0.12540994237795955,0.06751241895723528,4.8918401209467985,0.040431812332215156,0.11836042491744503,0.4984710719743788,0.21908776974134633
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db1,3,40,wavelet=db1      level=3,0.12540994237795955,0.06751241895723528,4.8918401209467985,0.040431812332215156,0.11836042491744503,0.4984710719743788,0.21908776974134633
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,db4,3,40,wavelet=db4      level=3,0.12255712480331767,0.06258523439402436,5.817911747526036,0.0,0.0,0.0,0.0
