phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,P,R,method,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,2,nri_uniform,10,P= 8 R=2 method=nri_uniform,0.04374820698753297,0.02441244867080892,7.393467941248482,0.2175973580386946,0.19018764468268065,0.634965124540606,0.34758337575399373
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,1,nri_uniform,18,P=16 R=1 method=nri_uniform,0.030469058565603495,0.03920768113951846,8.277712751188917,0.14947763473480316,0.32897169071971555,0.5639463300032814,0.3474652184859333
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,1,nri_uniform,26,P=24 R=1 method=nri_uniform,0.02094327495221284,0.05125716142036742,9.45796807492692,0.10061202051173167,0.4419996968396858,0.4691532258811555,0.3372549810775243
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,2,ror,256,P= 8 R=2 method=ror,0.011214659951249036,0.009593780386709015,4.3713630489254784,0.05070591652532488,0.05118376314870919,0.8776877778209675,0.3265258191650005
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,1,ror,4096,P=12 R=1 method=ror,0.002637217600229088,0.004757037105203844,3.309949389357792,0.006705128143319549,0.005813553274049407,0.9629360232848287,0.32515156823406594
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,2,ror,4096,P=12 R=2 method=ror,0.0034809504692031768,0.00507060299247381,3.4278633559673417,0.011033331108654149,0.008754902294860999,0.9534656733618379,0.3244179689217843
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,1,ror,4096,P=16 R=1 method=ror,0.0024345593435386318,0.004707417256358114,3.3915448829695904,0.005665526511319943,0.005348103109537247,0.9563826191473724,0.32246541625607655
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,1,nri_uniform,14,P=12 R=1 method=nri_uniform,0.03528440300429986,0.020419796419687528,7.728199797095191,0.17417951473150758,0.15273528055109953,0.6080808809145948,0.3116652253990673
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,3,ror,256,P= 8 R=3 method=ror,0.009765971930437621,0.008758500232628698,5.02827588271288,0.04327439878068047,0.043348566263302274,0.8249273238751628,0.3038500963063818
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,1,ror,4096,P=24 R=1 method=ror,0.001330130790642616,0.00421316591972901,3.9835083998385987,0.0,0.0007118663757333249,0.9088386189954867,0.30318349512374
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,2,ror,4096,P=16 R=2 method=ror,0.002185504967399862,0.004441864664005362,4.121537268796968,0.004387920850841062,0.002857134259924253,0.897752725389355,0.30166592683337345
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,2,ror,4096,P=24 R=2 method=ror,0.0016415902448431421,0.0043408880112069045,4.135615665170013,0.0015977328640655484,0.001909940732530549,0.8966220082755054,0.3000432272907005
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,3,ror,4096,P=16 R=3 method=ror,0.0026219554093348117,0.004647921860865769,4.356263842869999,0.0066268357568128695,0.004790017136608871,0.8789004820409709,0.2967724449781309
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,3,ror,4096,P=12 R=3 method=ror,0.001646742804576233,0.00429220661734503,4.787000324428814,0.0016241645999097902,0.0014532935780392567,0.8443055538721346,0.28246100401669455
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,3,ror,4096,P=24 R=3 method=ror,0.0013335604911720235,0.004137276587947878,5.662770877970304,1.759376758622786e-05,0.0,0.7739673756836849,0.2579949898170904
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,2,nri_uniform,14,P=12 R=2 method=nri_uniform,0.01938232108279105,0.010048552226535033,8.628558076399939,0.09260459847708127,0.055449669486324585,0.5357679208280883,0.22794072959716472
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,8,3,nri_uniform,10,P= 8 R=3 method=nri_uniform,0.0281651954957571,0.022456553965814495,11.07548892638698,0.13765921762992175,0.17184072236458783,0.3392408082810807,0.21624691609186342
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,2,nri_uniform,18,P=16 R=2 method=nri_uniform,0.014223424812606014,0.012050581080104742,10.487259755750477,0.06614035729892445,0.07422934497766379,0.386484881574662,0.1756181946170834
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,2,nri_uniform,26,P=24 R=2 method=nri_uniform,0.0074781289663814286,0.03351777476363639,13.816003551424222,0.03153816203398569,0.27559853621964897,0.11913429151773758,0.14209032992379075
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,12,3,nri_uniform,14,P=12 R=3 method=nri_uniform,0.014810084100401359,0.013778387041856697,14.003417766754978,0.06914981747577442,0.09043672141774223,0.1040819762512839,0.08788950504826686
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,16,3,nri_uniform,18,P=16 R=3 method=nri_uniform,0.007488607900416708,0.007828990917776299,15.019397503428669,0.03159191714420226,0.03462946949904712,0.022482790865310687,0.02956805916952002
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,24,3,nri_uniform,26,P=24 R=3 method=nri_uniform,0.006493988446916404,0.007493329806184232,15.299327503158233,0.02648969222643424,0.03148086015731781,0.0,0.019323517461250685
