phase1_run_id,input_fingerprint,outcome_hash,saved_at_utc,distances,n_distances,angles,n_angles,levels,symmetric,n_features,label,FDR,MI,DBI,FDR_n,MI_n,DBI_n,score
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[4, 8]",2,[0],1,128,True,6,"d=[4, 8] a=1ang l=128 sym=True",0.2675713728076822,0.17910162834559085,3.594431910350504,0.5208455088566578,0.580352772683012,0.9687510200596692,0.6899831005331131
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[4, 8]",2,[0],1,256,False,6,"d=[4, 8] a=1ang l=256 sym=False",0.25634147294279797,0.17981871749050882,3.65445043794422,0.4570219620875299,0.5901401471091268,0.9395404084674492,0.662234172554702
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[4, 8]",2,[0],1,64,False,6,"d=[4, 8] a=1ang l=64 sym=False",0.26719397239974585,0.1700625902209003,3.530225183322448,0.5187006070430688,0.4569811511694917,1.0,0.6585605860708535
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[4, 8]",2,[0],1,256,True,6,"d=[4, 8] a=1ang l=256 sym=True",0.2555635267527728,0.17817151488870864,3.6553045115977096,0.4526006150015959,0.5676578815027591,0.9391247365947217,0.6531277443663589
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,64,True,6,"d=[1, 2, 4] a=1ang l=64 sym=True",0.31619834712535616,0.19447475282531404,4.8699262752733805,0.7972100363187412,0.7901767903085128,0.3479765363196159,0.64512112098229
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,[0],1,256,True,6,d=[1] a=1ang l=256 sym=True,0.31866573688574923,0.20984781811033537,5.339113547510325,0.811233096868243,1.0000000000000002,0.11962626311562197,0.6436197866612884
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[4, 8]",2,[0],1,64,True,6,"d=[4, 8] a=1ang l=64 sym=True",0.26641468435436216,0.16717813981797405,3.5323611067658374,0.5142716337120871,0.4176119928060269,0.9989604605011655,0.6436146956730932
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,[0],1,256,False,6,d=[1] a=1ang l=256 sym=False,0.31846788227768436,0.20953160524664774,5.33934016243409,0.81010861820118,0.9956840879307707,0.11951597116437807,0.6417695590987762
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,64,False,6,"d=[1, 2, 4] a=1ang l=64 sym=False",0.31622465923402693,0.1931270185949916,4.869627369219251,0.7973595774650158,0.7717818952908699,0.34812201187524483,0.6390878282103768
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,64,False,6,"d=[1, 2] a=1ang l=64 sym=False",0.33257938682448235,0.19797141561751755,5.218628408878011,0.8903093574118325,0.8379018859004634,0.17826556548317551,0.6354922695984905
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,64,True,6,"d=[1, 2] a=1ang l=64 sym=True",0.3326670245196258,0.1975439073441274,5.218544581222362,0.890807433850806,0.8320669299935382,0.17830636383641796,0.6337269092269207
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,128,True,6,"d=[2, 4] a=1ang l=128 sym=True",0.292932613637216,0.19494028667379557,4.723814986552775,0.6649825323102997,0.7965307479934254,0.419087912675725,0.6268670643264834
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,128,False,6,"d=[1, 2, 4] a=1ang l=128 sym=False",0.3114157538234194,0.1969215234780716,5.000137333275449,0.7700288440591053,0.8235721647652092,0.28460369475212843,0.626068234525481
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2, 4]",3,[0],1,128,True,6,"d=[1, 2, 4] a=1ang l=128 sym=True",0.3113721222646109,0.19463840430154358,5.0009486389714715,0.7697808702688017,0.7924104292983045,0.2842088377551444,0.6154667124407501
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[2, 4]",2,[0],1,128,False,6,"d=[2, 4] a=1ang l=128 sym=False",0.2930627636553839,0.19227937917693091,4.722703258767296,0.6657222215213777,0.7602126721033635,0.4196289830724824,0.6151879588990745
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,128,True,6,"d=[1, 2] a=1ang l=128 sym=True",0.325278201936452,0.20058581916525217,5.3617769904686865,0.8488141062717586,0.8735852407580647,0.10859611865622298,0.6103318218953487
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,128,False,6,d=[1] a=2ang l=128 sym=False,0.3026452017457579,0.18515757723017243,4.6846946679354895,0.7201826524229634,0.6630089384594344,0.4381275072527351,0.6071063660450443
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,128,True,6,d=[1] a=2ang l=128 sym=True,0.3027493639107455,0.18506999129486493,4.684599487265257,0.7207746433479626,0.6618134994412996,0.43817383104141694,0.6069206579435598
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,64,True,6,d=[1] a=2ang l=64 sym=True,0.31169819929370696,0.17886624276797614,4.61875350126699,0.7716340829213854,0.577140052480859,0.4702206272394549,0.606331587547233
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,256,False,6,d=[1] a=2ang l=256 sym=False,0.27987822628404796,0.19719434645786751,4.781911363738064,0.5907897690798306,0.827295858917094,0.39081279869155194,0.6029661422294922
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,256,True,6,d=[1] a=2ang l=256 sym=True,0.28011763131482215,0.1967438463610894,4.781431252370712,0.5921503936946734,0.8211470932337523,0.39104646564799017,0.6014479841921386
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,[1],1,"[0, 1.571]",2,64,False,6,d=[1] a=2ang l=64 sym=False,0.31164177965994216,0.17764029618954505,4.618854331650979,0.7713134299166738,0.5604074073494199,0.4701715537732851,0.6006307970131263
20260526T024123_ea9f75c9,afa224e7cd12851202911c9e214abae6,ea9f75c97293847501445580f2676791,2026-05-26T02:41:23.047628+00:00,"[1, 2]",2,[0],1,128,False,6,"d=[1, 2] a=1ang l=128 sym=False",0.32523524385419417,0.19730678840345797,5.361134237743651,0.848569960090129,0.8288305515428214,0.108908942061821,0.5954364845649237
